2024-04-13,18:30,Criciúma,1–1,Juventude,"12,804",Estádio Heriberto Hülse
2024-04-13,18:30,Internacional,2–1,Bahia,"19,103",Estádio José Pinheiro Borba
2024-04-14,16:00,Ath Paranaense,4–0,Cuiabá,"21,388",Ligga Arena
2024-04-14,16:00,Vasco da Gama,2–1,Grêmio,"17,722",Estádio Club de Regatas Vasco da Gama
2024-04-14,16:00,Corinthians,0–0,Atlético Mineiro,"44,285",Neo Química Arena
2024-04-14,16:00,Atl Goianiense,1–2,Flamengo,"31,617",Estádio do Governo do Estado de Goiás
2024-04-14,17:00,Cruzeiro,3–2,Botafogo (RJ),"20,701",Estádio Governador Magalhães Pinto
2024-04-14,18:30,Vitória,0–1,Palmeiras,"30,644",Estádio Manoel Barradas
2024-04-13,21:00,Fluminense,2–2,RB Bragantino,"17,645",Estadio Jornalista Mário Filho
2024-04-13,21:00,São Paulo,1–2,Fortaleza,"35,055",Estádio do Morumbi
2024-04-17,19:00,Grêmio,2–0,Ath Paranaense,"13,236",Arena do Grêmio
2024-04-17,19:00,RB Bragantino,2–1,Vasco da Gama,"5,448",Estádio Nabi Abi Chedid
2024-04-17,20:00,Juventude,2–0,Corinthians,"7,478",Estádio Alfredo Jaconi
2024-04-17,20:00,Atlético Mineiro,1–1,Criciúma,"21,726",Arena MRV
2024-04-17,20:00,Palmeiras,0–1,Internacional,"13,464",Allianz Parque
2024-04-17,20:00,Fortaleza,1–1,Cruzeiro,"21,726",Estádio Castelão
2024-04-16,21:30,Bahia,2–1,Fluminense,"23,08",Itaipava Arena Fonte Nova
2024-04-17,21:30,Flamengo,2–1,São Paulo,"45,166",Estadio Jornalista Mário Filho
2024-04-18,21:30,Botafogo (RJ),1–0,Atl Goianiense,"7,801",Estádio Nilton Santos
2024-04-20,16:00,Fluminense,2–1,Vasco da Gama,"25,842",Estadio Jornalista Mário Filho
2024-04-20,18:30,RB Bragantino,1–0,Corinthians,"9,466",Estádio Nabi Abi Chedid
2024-04-20,18:30,Grêmio,1–0,Cuiabá,"22,904",Arena do Grêmio
2024-04-21,16:00,Vitória,2–2,Bahia,"27,609",Estádio Manoel Barradas
2024-04-21,16:00,Palmeiras,0–0,Flamengo,"29,956",Allianz Parque
2024-04-21,16:00,Ath Paranaense,1–0,Internacional,"29,784",Ligga Arena
2024-04-21,18:30,Atl Goianiense,0–3,São Paulo,"8,024",Estádio Antônio Accioly
2024-04-21,18:30,Botafogo (RJ),5–1,Juventude,"13,273",Estádio Municipal Nílton Santos
2024-04-20,21:00,Atlético Mineiro,3–0,Cruzeiro,"39,541",Arena MRV
2024-04-27,16:00,Vasco da Gama,0–4,Criciúma,"17,124",Estádio Club de Regatas Vasco da Gama
2024-04-27,17:30 (18:30),Cuiabá,0–3,Atlético Mineiro,"6,711",Arena Pantanal
2024-04-28,11:00,Flamengo,0–2,Botafogo (RJ),"53,683",Estadio Jornalista Mário Filho
2024-04-28,16:00,Cruzeiro,3–1,Vitória,"20,083",Estádio Governador Magalhães Pinto
2024-04-28,16:00,Corinthians,3–0,Fluminense,"42,119",Neo Química Arena
2024-04-28,18:30,Fortaleza,1–1,RB Bragantino,"18,113",Estádio Castelão
2024-04-28,18:30,Juventude,1–1,Ath Paranaense,"5,032",Estádio Alfredo Jaconi
2024-04-28,20:00,Internacional,1–1,Atl Goianiense,"28,468",Estádio José Pinheiro Borba
2024-04-27,21:00,Bahia,1–0,Grêmio,"35,836",Itaipava Arena Fonte Nova
2024-04-29,20:00,São Paulo,0–0,Palmeiras,"55,694",Estádio do Morumbi
2024-05-04,16:00,Fluminense,2–2,Atlético Mineiro,"5,168",Estádio Kleber José de Andrade
2024-05-04,18:30,RB Bragantino,1–1,Flamengo,"9,917",Estádio Nabi Abi Chedid
2024-05-05,16:00,Vitória,1–3,São Paulo,"25,739",Estádio Manoel Barradas
2024-05-05,16:00,Ath Paranaense,1–0,Vasco da Gama,"31,192",Ligga Arena
2024-05-05,17:30 (18:30),Cuiabá,0–2,Palmeiras,"10,781",Arena Pantanal
2024-05-05,18:30,Botafogo (RJ),1–2,Bahia,"22,685",Estádio Nilton Santos
2024-05-04,21:00,Corinthians,0–0,Fortaleza,"42,456",Neo Química Arena
2024-05-11,16:00,Flamengo,2–0,Corinthians,"56,829",Estadio Jornalista Mário Filho
2024-05-12,16:00,Palmeiras,0–2,Ath Paranaense,"12,108",Arena Barueri
2024-05-12,16:00,Atl Goianiense,0–1,Cruzeiro,"7,576",Estádio Antônio Accioly
2024-05-12,16:00,Fortaleza,1–1,Botafogo (RJ),"15,914",Estádio Castelão
2024-05-12,18:30,Bahia,1–0,RB Bragantino,"36,82",Itaipava Arena Fonte Nova
2024-05-12,18:30,Vasco da Gama,2–1,Vitória,"11,084",Estádio Club de Regatas Vasco da Gama
2024-05-13,20:00,São Paulo,2–1,Fluminense,"39,515",Estádio do Morumbi
2024-06-01,16:00,Vitória,0–2,Atl Goianiense,"16,008",Estádio Manoel Barradas
2024-06-01,16:00,Grêmio,0–2,RB Bragantino,"7,563",Estádio Major Antônio Couto Pereira
2024-06-01,17:30 (18:30),Cuiabá,0–1,Internacional,"5,747",Arena Pantanal
2024-06-01,18:30,Fluminense,1–1,Juventude,"21,037",Estadio Jornalista Mário Filho
2024-06-02,16:00,Criciúma,1–2,Palmeiras,"19,027",Estádio Heriberto Hülse
2024-06-02,16:00,Atlético Mineiro,1–1,Bahia,"37,994",Arena MRV
2024-06-02,16:00,Vasco da Gama,1–6,Flamengo,"62,228",Estadio Jornalista Mário Filho
2024-06-02,18:30,São Paulo,2–0,Cruzeiro,"44,928",Estádio do Morumbi
2024-06-02,18:30,Fortaleza,1–0,Ath Paranaense,"12,191",Estádio Municipal Presidente Getúlio Var...
2024-06-01,21:00,Corinthians,0–1,Botafogo (RJ),"41,281",Neo Química Arena
2024-06-05,19:00 (20:00),Cuiabá,0–0,Vitória,"3,614",Arena Pantanal
2024-06-05,19:00,Juventude,1–0,Atl Goianiense,"5,123",Estádio Alfredo Jaconi
2024-06-09,16:00,Criciúma,2–5,Cuiabá,"13,846",Estádio Heriberto Hülse
2024-06-11,19:00,Juventude,1–1,Vitória,"6,186",Estádio Alfredo Jaconi
